
Sync-Point 0, Time: 0, Nf = 0000110000, Systemstep: 0
Sync-Point 185, Time: 0.108398, Nf = 0000000002, Systemstep: 0.000976562

Sync-Point 186, Time: 0.109375, Nf = 0000099990, Systemstep: 0.000976562

Sync-Point 187, Time: 0.111328, Nf = 0000008844, Systemstep: 0.00195312

Sync-Point 188, Time: 0.113281, Nf = 0000036866, Systemstep: 0.00195312

Sync-Point 189, Time: 0.115234, Nf = 0000008662, Systemstep: 0.00195312

Sync-Point 190, Time: 0.117188, Nf = 0000068708, Systemstep: 0.00195312

Sync-Point 191, Time: 0.119141, Nf = 0000008498, Systemstep: 0.00195312

Sync-Point 192, Time: 0.121094, Nf = 0000036612, Systemstep: 0.00195312

Sync-Point 193, Time: 0.123047, Nf = 0000008352, Systemstep: 0.00195312

Sync-Point 194, Time: 0.125, Nf = 0000110000, Systemstep: 0.00195312

Sync-Point 195, Time: 0.126953, Nf = 0000008194, Systemstep: 0.00195312

Sync-Point 196, Time: 0.128906, Nf = 0000036306, Systemstep: 0.00195312

Sync-Point 197, Time: 0.129883, Nf = 0000000002, Systemstep: 0.000976562

Sync-Point 198, Time: 0.130859, Nf = 0000008144, Systemstep: 0.000976562

Sync-Point 199, Time: 0.131836, Nf = 0000000004, Systemstep: 0.000976562

Sync-Point 200, Time: 0.132812, Nf = 0000068680, Systemstep: 0.000976562

Sync-Point 201, Time: 0.133789, Nf = 0000000008, Systemstep: 0.000976562

Sync-Point 202, Time: 0.134766, Nf = 0000008052, Systemstep: 0.000976562

Sync-Point 203, Time: 0.135742, Nf = 0000000012, Systemstep: 0.000976562

Sync-Point 204, Time: 0.136719, Nf = 0000035934, Systemstep: 0.000976562

Sync-Point 205, Time: 0.137695, Nf = 0000000018, Systemstep: 0.000976562

Sync-Point 206, Time: 0.138672, Nf = 0000008076, Systemstep: 0.000976562

Sync-Point 207, Time: 0.139648, Nf = 0000000022, Systemstep: 0.000976562

Sync-Point 208, Time: 0.140625, Nf = 0000099988, Systemstep: 0.000976562

Sync-Point 209, Time: 0.141602, Nf = 0000000030, Systemstep: 0.000976562

Sync-Point 210, Time: 0.142578, Nf = 0000008086, Systemstep: 0.000976562

Sync-Point 211, Time: 0.143555, Nf = 0000000034, Systemstep: 0.000976562

